Player,BirthYear,transfermarkt_player_id
Franck Ribéry,1983,
Franco Di Santo,1989,
Franco Vázquez,1989,
François Kamano,1996,
François Moubandje,1990,
Fraser Forster,1988,
Fred,1993,
Freddie Woodman,1997,
Fábio Silva,2002,
Gabi,1983,
Gabriel Boschilia,1996,
Gabriel Fernández,1994,
Gabriel Jesus,1997,
Gabriel Magalhães,1997,
Gabriel Mercado,1987,
Gabriel Osho,1998,
Gabriel Strefezza,1997,
Gaetano Castrovilli,1997,
Gaetano Oristanio,2002,
Gaku Shibasaki,1992,
Ganso,1989,
Gareth Bale,1989,
Gary Cahill,1985,
Gastón Álvarez,2000,
Gaël Kakuta,1991,
Gaëtan Charbonnier,1988,
Gaëtan Laborde,1994,
Gelson Martins,1995,
Geoffrey Kondogbia,1993,
George Pușcaș,1996,
Georges Mikautadze,2000,
Georginio Rutter,2002,
Georginio Wijnaldum,1990,
Gerard Deulofeu,1994,
Gerard Gumbau,1994,
Gerard Moreno,1992,
Germán Pezzella,1991,
Gerrit Holtmann,1995,
Gerson,1997,
Gerzino Nyamsi,1997,
Gerónimo Rulli,1992,
Ghislain Konan,1995,
Giacomo Bonaventura,1989,
Giacomo Raspadori,2000,
Giangiacomo Magnani,1995,
Gianluca Caprari,1993,
Gianluca Frabotta,1999,
Gianluca Gaetano,2000,
Gianluca Lapadula,1990,
Gianluca Mancini,1996,
Gianluca Scamacca,1999,
Gianluigi Donnarumma,1999,
Giannelli Imbula,1992,
Gideon Mensah,1998,
Gino Infantino,2003,
Giovani Lo Celso,1996,
Giovanni Di Lorenzo,1993,
Giovanni González,1994,
Giovanni Simeone,1995,
Giovanni Sio,1989,
Giulian Biancone,2000,
Giulio Maggiore,1998,
Giuseppe Pezzella,1997,
Glenn Murray,1983,
Godfred Donsah,1996,
Gonzalo Castro,1987,
Gonzalo Escalante,1993,
Gonzalo Higuaín,1987,
Gonzalo Melero,1994,
Gonzalo Montiel,1997,
Gonzalo Villar,1998,
Gonçalo Guedes,1996,
Gonçalo Paciência,1994,
Grady Diangana,1998,
Granit Xhaka,1992,
Gregor Kobel,1997,
Grischa Prömel,1995,
Grzegorz Krychowiak,1990,
Grégoire Defrel,1991,
Grégory Sertic,1989,
Guglielmo Vicario,1996,
Guido Burgstaller,1989,
Guido Carrillo,1991,
Guido Pizarro,1990,
Guido Rodríguez,1994,
Guilherme Arana,1997,
Guillermo Maripán,1994,
Gustavo Puerta,2003,
Gustavo Scarpa,1994,
Habib Diallo,1995,
Hakan Çalhanoğlu,1994,
Hakim Ziyech,1993,
Hamari Traoré,1992,
Hamza Choudhury,1997,
Hamza Mendyl,1997,
Hannes Wolf,1999,
Hans Hateboer,1994,
Hans Nicolussi Caviglia,2000,
Haris Belkebla,1994,
Harrison Manzala,1994,
Harry Arter,1989,
Harry Kane,1993,
Harry Maguire,1993,
Harry Wilson,1997,
Harry Winks,1996,
Harvey Barnes,1997,
Hassane Kamara,1994,
Henrikh Mkhitaryan,1989,
Henry Onyekuru,1997,
Hernani,1994,
Hiroki Ito,1999,
Hiroki Sakai,1990,
Hirving Lozano,1995,
Houboulang Mendes,1998,
Houssem Aouar,1998,
Hugo Bueno,2002,
Hugo Mallo,1991,
Hugo Novoa,2003,
Héctor Bellerín,1995,
Héctor Herrera,1990,
Héctor Moreno,1988,
Hélder Costa,1994,
Iago,1997,
Iago Falque,1990,
Ian Maatsen,2002,
Ibrahim Amadou,1993,
Ibrahim Salah,2001,
Ibrahim Sulemana,2003,
Ibrahima Konaté,1999,
Ibrahima Niane,1999,
Ibrahima Sissoko,1997,
Iddrisu Baba,1996,
Ignacio Pussetto,1995,
