Player,BirthYear,transfermarkt_player_id,rumor_count,rumor_prob_max,rumor_prob_mean,rumor_first,rumor_last,leagues_mentioned
Daniel Sturridge,1989.0,,,,,,,
Daniel Wass,1989.0,,,,,,,
Daniele Rugani,1994.0,,,,,,,
Daniele Verde,1996.0,,,,,,,
Danilo,1991.0,,,,,,,
Danilo Avelar,1989.0,,,,,,,
Danilo Cataldi,1994.0,,,,,,,
Danilo Pereira,1991.0,,,,,,,
Danny Drinkwater,1990.0,,,,,,,
Danny Ings,1992.0,,,,,,,
Danny Latza,1989.0,,,,,,,
Danny Welbeck,1990.0,,,,,,,
Danny da Costa,1993.0,,,,,,,
Dara O'Shea,1999.0,,,,,,,
Darko Lazović,1990.0,,,,,,,
Darwin Machís,1993.0,,,,,,,
David Alaba,1992.0,,,,,,,
David Datro Fofana,2002.0,,,,,,,
David García,1994.0,,,,,,,
David Luiz,1987.0,,,,,,,
David Nemeth,2001.0,,,,,,,
David Okereke,1997.0,,,,,,,
David Ospina,1988.0,,,,,,,
David Raum,1998.0,,,,,,,
David Raya,1995.0,,,,,,,
David Silva,1986.0,,,,,,,
David Soria,1993.0,,,,,,,
Davide Frattesi,1999.0,,,,,,,
Davide Santon,1991.0,,,,,,,
Davide Zappacosta,1992.0,,,,,,,
Davy Klaassen,1993.0,,,,,,,
Davy Pröpper,1991.0,,,,,,,
Dawid Kownacki,1997.0,,,,,,,
Dayot Upamecano,1998.0,,,,,,,
Dean Henderson,1997.0,,,,,,,
Dean Huijsen,2005.0,,,,,,,
Declan Rice,1999.0,,,,,,,
Dedryck Boyata,1990.0,,,,,,,
Dejan Joveljić,1999.0,,,,,,,
Dejan Kulusevski,2000.0,,,,,,,
Dejan Lovren,1989.0,,,,,,,
Dele Alli,1996.0,,,,,,,
Demarai Gray,1996.0,,,,,,,
Denis Bouanga,1994.0,,,,,,,
Denis Cheryshev,1990.0,,,,,,,
Denis Suárez,1994.0,,,,,,,
Denis Vavro,1996.0,,,,,,,
Denis Zakaria,1996.0,,,,,,,
Deniz Undav,1996.0,,,,,,,
Dennis Praet,1994.0,,,,,,,
Dereck Kutesa,1997.0,,,,,,,
Deyverson,1991.0,,,,,,,
Diafra Sakho,1989.0,,,,,,,
Diego Carlos,1993.0,,,,,,,
Diego Falcinelli,1991.0,,,,,,,
Diego Farias,1990.0,,,,,,,
Diego Godín,1986.0,,,,,,,
Diego Lainez,2000.0,,,,,,,
Diego Laxalt,1993.0,,,,,,,
Diego Llorente,1993.0,,,,,,,
Diego Moreira,2004.0,,,,,,,
Diego Perotti,1988.0,,,,,,,
Diego Rico,1993.0,,,,,,,
Diego Rolán,1993.0,,,,,,,
Dimitri Foulquier,1993.0,,,,,,,
Diogo Jota,1996.0,,,,,,,
Dion Lopy,2002.0,,,,,,,
Divock Origi,1995.0,,,,,,,
Djed Spence,2000.0,,,,,,,
Djibril Sidibé,1992.0,,,,,,,
Djibril Sow,1997.0,,,,,,,
Domagoj Bradarić,1999.0,,,,,,,
Domingos Duarte,1995.0,,,,,,,
Domingos Quina,1999.0,,,,,,,
Dominic Solanke,1997.0,,,,,,,
Dominik Kaiser,1988.0,,,,,,,
Dominik Kohr,1994.0,,,,,,,
Dominik Szoboszlai,2000.0,,,,,,,
Dominique Heintz,1993.0,,,,,,,
Donny van de Beek,1997.0,,,,,,,
Donyell Malen,1999.0,,,,,,,
Douglas Costa,1990.0,,,,,,,
Douglas Luiz,1998.0,,,,,,,
Doğan Alemdar,2002.0,,,,,,,
Dries Mertens,1987.0,,,,,,,
Duván Zapata,1991.0,,,,,,,
Dušan Tadić,1988.0,,,,,,,
Dwight McNeil,1999.0,,,,,,,
Dylan Bronn,1995.0,,,,,,,
Désiré Doué,2005.0,,,,,,,
Ebrima Colley,2000.0,,,,,,,
Eddie Nketiah,1999.0,,,,,,,
